,Number,Initial Impact Location_x,Principal Damage Location_x,Extent of Damage_x,Vehicle Type_x,Vehicle Use_x,V_Age_x,Initial Impact Location_y,Principal Damage Location_y,Extent of Damage_y,Vehicle Type_y,Vehicle Use_y,V_Age_y
7663,201704152017-021259            ,03,03,02,01,01,13.0,10,10,02,01,01,6.0
7664,201704152017-021366            ,12,12,04,01,01,0.5,02,02,02,01,01,20.0
7665,201704152017-021404            ,12,12,02,01,01,9.0,06,06,02,01,01,1.0
7666,201704152017-021512            ,12,12,03,01,01,15.0,12,12,02,01,01,15.0
7667,201704152017-021519            ,06,06,03,01,01,9.0,12,12,03,01,01,3.0
7668,201704152017-021521            ,12,12,02,01,01,11.0,06,06,02,05,01,2.0
7669,201704152017-021522            ,03,03,02,08,01,24.0,03,03,02,08,01,24.0
7670,201704152017-021527            ,12,12,02,01,01,10.0,06,06,02,01,01,1.0
7671,201704152017-021550            ,01,05,04,08,01,13.0,01,05,02,08,01,13.0
7672,201704152017-021707            ,03,03,04,01,01,3.0,12,12,04,01,01,8.0
7673,201704152017-021872            ,11,11,02,23,02,2.0,12,12,04,01,00,16.0
7674,201704152017-021932            ,02,02,02,01,01,14.0,09,09,02,01,01,1.0
7675,201704152017-021937            ,12,12,02,05,01,11.0,06,06,04,01,01,1.0
7676,201704152017-022064            ,12,12,02,01,01,5.0,06,06,02,04,01,10.0
7677,201704152017-022066            ,11,11,02,01,01,10.0,04,04,02,01,01,7.0
7678,201704152017-022186            ,11,11,02,04,01,12.0,03,03,02,01,01,10.0
7679,201704152017-022262            ,12,12,02,01,01,20.0,06,06,02,01,01,12.0
7680,201704152017-022263            ,12,12,02,05,01,2.0,06,12,02,01,01,13.0
7681,201704152017-022342            ,12,13,04,01,01,8.0,12,13,02,01,01,8.0
7682,201704152017-022358            ,12,12,02,01,01,7.0,06,06,02,01,01,1.0
7683,201704152017-022359            ,12,12,02,04,01,3.0,06,06,02,01,02,3.0
7684,201704152017-022389            ,12,12,02,05,01,19.0,06,06,03,01,01,7.0
7685,201704152017-022424            ,12,12,02,04,01,19.0,06,06,03,01,01,10.0
7686,201704152017-022444            ,03,03,02,02,02,3.0,09,09,02,29,02,4.0
7687,201704152017-022456            ,01,01,04,01,01,1.0,06,06,02,05,01,1.0
7688,201704152017-022499            ,01,01,02,04,01,9.0,06,06,02,01,01,7.0
7689,201704152017-022519            ,12,12,04,04,01,4.0,12,12,02,04,01,4.0
7690,201704152017-022566            ,12,12,02,01,01,15.0,06,06,02,01,01,11.0
7691,201704152017-022611            ,08,08,02,01,01,4.0,02,02,02,05,01,7.0
7692,201704152017-022636            ,12,12,04,01,01,13.0,12,12,02,01,01,13.0
7693,201704152017-022648            ,07,07,02,01,01,11.0,03,03,03,01,01,2.0
7694,201704152017-022668            ,02,02,02,01,01,16.0,09,09,03,01,01,7.0
7695,201704152017-022676            ,12,12,04,01,01,15.0,12,12,02,01,01,15.0
7696,201704152017-022785            ,12,12,03,01,01,10.0,07,07,02,05,01,3.0
7697,201704152017-022788            ,02,02,04,01,01,6.0,08,08,04,40,01,9.0
7698,201704152017-022882            ,07,08,03,04,01,5.0,03,03,03,01,01,4.0
7699,201704152017-023063            ,11,11,02,01,01,7.0,11,11,02,01,01,7.0
7700,201704152017-023203            ,11,11,02,04,01,5.0,03,03,02,01,01,2.0
7701,201704152017-023281            ,03,03,03,01,01,13.0,02,02,02,21,02,10.0
7702,201704152017-023340            ,12,12,04,01,01,9.0,06,12,02,01,01,19.0
7703,201704152017-023472            ,12,12,02,01,01,3.0,06,06,02,05,02,3.0
7704,201704152017-023603            ,12,12,02,01,01,15.0,06,06,02,01,01,10.0
7705,201704152017-023698            ,,,02,,,6.0,,,02,,,7.0
7706,201704152017-023787            ,01,01,02,01,01,10.0,05,05,02,05,01,13.0
7707,201704152017-023975            ,07,07,02,04,01,3.0,11,11,02,01,01,4.0
7708,201704152017-024107            ,,,02,,,7.0,,,02,,,7.0
7709,201704152017-024260            ,02,02,03,01,01,15.0,05,05,03,04,01,0.5
7710,201704152017-024275            ,01,01,03,05,01,1.0,06,07,03,01,01,1.0
7711,201704152017-024278            ,12,,02,01,01,13.0,11,,02,01,01,8.0
7712,201704152017-024342            ,12,12,04,04,01,9.0,12,12,02,04,01,9.0
7713,201704152017-024375            ,08,08,02,01,01,1.0,08,08,02,01,02,2.0
7714,201704152017-024467            ,12,12,04,01,01,11.0,11,11,04,04,01,4.0
7715,201704152017-024623            ,03,03,02,01,01,1.0,09,09,02,01,01,6.0
7716,201704152017-024650            ,01,01,02,20,02,4.0,05,05,02,01,01,4.0
7717,201704152017-024661            ,,,02,,,5.0,,,02,,,9.0
7718,201704152017-024672            ,02,02,02,01,01,16.0,12,12,02,01,01,10.0
7719,201704152017-024682            ,12,12,02,01,01,1.0,06,06,02,01,01,7.0
7720,201704152017-024690            ,11,11,04,01,01,22.0,11,11,02,01,01,22.0
7721,201704152017-024750            ,03,03,02,01,01,3.0,07,11,02,04,01,1.0
7722,201704152017-024922            ,12,12,04,01,01,16.0,04,04,04,01,01,4.0
7723,201704152017-024986            ,11,09,04,01,01,20.0,01,01,03,23,02,21.0
7724,201704152017-025120            ,12,12,04,01,01,20.0,10,10,04,01,01,14.0
7725,201704152017-025187            ,12,12,03,01,01,5.0,06,06,02,05,01,9.0
7726,201704152017-025191            ,12,12,04,20,02,0.5,06,06,02,40,02,12.0
7727,201704152017-025340            ,07,07,02,02,01,5.0,08,08,02,05,02,24.0
7728,201704152017-025447            ,01,01,02,01,02,6.0,01,01,02,01,02,6.0
7729,201704152017-025456            ,12,12,02,01,01,10.0,06,06,02,01,01,2.0
7730,201704152017-025458            ,12,12,02,04,01,12.0,06,06,02,01,01,4.0
7731,201704152017-025462            ,08,08,04,04,01,14.0,08,08,02,04,01,14.0
7732,201704152017-025466            ,12,05,04,01,01,10.0,12,05,02,01,01,10.0
7733,201704152017-025507            ,12,12,03,04,01,10.0,06,06,03,01,01,14.0
7734,201704152017-025529            ,12,12,02,01,01,12.0,06,06,02,01,01,5.0
7735,201704152017-025534            ,12,12,03,01,01,9.0,06,06,03,01,01,9.0
7736,201704152017-025569            ,11,11,03,05,01,17.0,11,11,02,05,01,17.0
7737,201704152017-025617            ,01,01,03,01,01,13.0,07,06,03,01,01,5.0
7738,201704152017-025621            ,12,17,01,01,01,11.0,06,06,03,01,01,2.0
7739,201704152017-025665            ,12,17,01,01,01,6.0,06,17,01,01,02,19.0
7740,201704152017-025734            ,09,09,02,05,02,13.0,03,03,02,01,01,5.0
7741,201704152017-025743            ,14,14,04,01,01,0.5,14,14,02,01,01,0.5
7742,201704152017-025758            ,12,12,02,04,01,12.0,06,06,02,04,01,6.0
7743,201704152017-025871            ,03,03,02,31,02,14.0,05,05,03,01,01,2.0
7744,201704152017-025922            ,03,03,02,01,01,2.0,09,09,02,01,01,3.0
7745,201704152017-025968            ,12,12,02,01,01,12.0,06,06,02,01,01,4.0
7746,201704152017-025969            ,03,03,04,05,02,6.0,12,12,04,01,01,5.0
7747,201704152017-026076            ,12,12,04,08,01,3.0,03,03,04,05,01,14.0
7748,201704152017-026081            ,08,10,03,04,01,10.0,01,02,03,04,01,5.0
7749,201704152017-026085            ,12,12,02,04,01,4.0,06,06,02,01,01,1.0
7750,201704152017-026142            ,01,02,04,01,01,10.0,01,02,02,01,01,10.0
7751,201704152017-026213            ,12,12,04,01,01,3.0,12,09,04,25,02,1.0
7752,201704152017-026215            ,12,12,02,01,01,12.0,08,08,04,01,01,3.0
7753,201704152017-026217            ,01,01,02,01,01,12.0,12,12,04,01,01,0.5
7754,201704152017-026406            ,06,06,04,04,01,13.0,06,06,02,04,01,13.0
7755,201704152017-026455            ,01,01,04,01,01,16.0,01,01,02,01,01,16.0
7756,201704152017-026521            ,10,,03,04,03,3.0,09,,03,01,01,15.0
7757,201704152017-026573            ,05,05,03,01,01,4.0,11,11,03,01,01,18.0
7758,201704152017-026591            ,12,12,02,01,01,19.0,06,06,02,01,01,5.0
7759,201704152017-026620            ,12,12,02,01,01,1.0,06,06,02,01,01,6.0
7760,201704152017-026636            ,11,11,04,01,01,4.0,11,11,04,05,01,8.0
7761,201704152017-026720            ,12,12,02,01,01,11.0,06,06,02,01,01,5.0
7762,201704152017-026755            ,12,12,02,01,01,11.0,06,06,02,01,01,9.0
7763,201704152017-026839            ,12,12,01,29,02,18.0,12,12,04,05,01,16.0
7764,201704152017-026853            ,01,01,04,01,01,5.0,03,03,02,05,01,0.5
7765,201704152017-026861            ,12,12,02,01,01,17.0,06,06,02,01,01,5.0
7766,201704152017-026911            ,12,12,04,01,01,11.0,06,06,03,01,01,1.0
7767,201704152017-026942            ,02,02,04,01,01,1.0,02,02,02,01,01,1.0
7768,201704152017-027009            ,,,04,01,01,17.0,,,02,01,01,17.0
7769,201704152017-027035            ,11,10,03,01,01,6.0,01,02,02,01,01,14.0
7770,201704152017-027061            ,12,,02,01,01,14.0,12,,02,04,01,9.0
7771,201704152017-027081            ,12,,02,01,01,17.0,06,,02,08,01,17.0
7772,201704152017-027094            ,12,12,02,01,01,12.0,06,06,02,01,01,3.0
7773,201704152017-027104            ,12,12,03,01,01,13.0,06,06,04,01,01,9.0
7774,201704152017-027199            ,06,06,03,01,01,18.0,11,10,03,04,03,2.0
7775,201704152017-027205            ,12,12,04,01,01,3.0,02,02,04,01,01,5.0
7776,201704152017-027268            ,09,,03,01,01,7.0,12,,03,01,01,13.0
7777,201704152017-027290            ,12,12,02,01,01,12.0,06,06,02,01,01,5.0
7778,201704152017-027404            ,01,01,03,03,02,8.0,06,06,03,03,02,13.0
7779,201704152017-027519            ,01,12,02,01,01,10.0,01,12,02,01,01,10.0
7780,201704152017-027542            ,12,01,04,04,01,13.0,12,01,02,04,01,13.0
7781,201704152017-027559            ,12,12,02,01,01,8.0,07,06,02,04,01,11.0
7782,201704152017-027653            ,12,12,02,01,01,15.0,06,06,02,01,01,3.0
7783,201704152017-027722            ,12,12,02,01,01,15.0,06,06,02,04,01,5.0
7784,201704152017-027733            ,01,01,02,01,02,4.0,01,01,02,01,02,4.0
7785,201704152017-027793            ,02,02,02,08,01,6.0,02,02,02,08,01,6.0
7786,201704152017-027843            ,12,12,02,01,01,4.0,06,06,02,01,01,7.0
7787,201704152017-027844            ,12,12,02,05,01,15.0,06,06,02,01,01,23.0
7788,201704152017-027846            ,02,02,02,05,01,12.0,05,05,03,01,01,12.0
7789,201704152017-027925            ,12,12,02,,01,7.0,06,06,02,,01,2.0
7790,201704152017-027927            ,06,17,01,21,03,11.0,12,12,02,21,01,14.0
7791,201704152017-027940            ,12,12,03,01,01,12.0,06,06,02,01,01,6.0
7792,201704152017-028020            ,12,12,03,01,01,11.0,01,01,03,01,01,5.0
7793,201704152017-028024            ,12,12,03,01,01,13.0,06,06,02,04,01,5.0
7794,201704152017-028025            ,12,12,04,01,01,18.0,06,06,03,01,01,0.5
7795,201704152017-028049            ,02,02,02,01,01,26.0,09,09,02,01,01,9.0
7796,201704152017-028073            ,06,06,01,05,01,14.0,12,12,01,01,01,22.0
7797,201704152017-028080            ,08,08,04,01,01,6.0,12,12,04,01,01,16.0
7798,201704152017-028098            ,08,08,04,01,01,6.0,12,12,04,01,01,16.0
7799,201704152017-028138            ,12,12,04,01,01,15.0,06,06,03,01,01,20.0
7800,201704152017-028198            ,03,03,02,01,01,11.0,12,12,03,01,01,2.0
7801,201704152017-028263            ,12,12,02,01,01,11.0,06,06,02,01,01,0.5
7802,201704152017-028294            ,12,12,02,05,01,12.0,06,06,02,01,01,12.0
7803,201704152017-028381            ,11,10,03,01,01,6.0,12,12,03,01,01,4.0
7804,201704152017-028429            ,12,12,04,01,01,14.0,06,06,04,01,01,17.0
7805,201704152017-028452            ,12,12,03,01,01,7.0,03,03,03,01,01,1.0
7806,201704152017-028471            ,11,17,01,04,03,1.0,11,17,02,04,03,1.0
7807,201704152017-028549            ,11,11,02,05,01,14.0,09,09,04,01,01,15.0
7808,201704152017-028637            ,12,12,02,01,01,1.0,06,06,02,01,01,4.0
7809,201704152017-028656            ,01,01,04,01,01,9.0,02,02,04,05,01,15.0
7810,201704152017-028734            ,12,12,02,05,01,10.0,11,11,03,01,01,11.0
7811,201704152017-028844            ,12,12,02,01,01,21.0,06,06,02,01,01,5.0
7812,201704152017-028880            ,12,12,04,01,01,4.0,12,12,02,01,01,4.0
7813,201704152017-029023            ,12,12,04,01,01,7.0,06,06,02,01,01,9.0
7814,201704152017-029098            ,12,12,02,03,02,3.0,06,06,02,01,01,6.0
7815,201704152017-029254            ,11,11,02,01,01,16.0,04,04,02,01,02,1.0
7816,201704152017-029316            ,12,12,03,01,01,16.0,06,12,03,01,01,3.0
7817,201704152017-029335            ,12,12,02,01,01,16.0,06,06,02,01,01,4.0
7818,201704152017-029362            ,12,12,02,01,01,4.0,06,06,02,01,01,4.0
7819,201704152017-029428            ,12,12,02,01,01,1.0,01,01,02,01,01,13.0
7820,201704152017-029447            ,12,12,02,01,01,15.0,12,12,03,01,01,7.0
7821,201704152017-029491            ,10,10,03,01,01,3.0,04,04,03,01,01,15.0
7822,201704152017-029530            ,03,04,04,01,01,12.0,12,12,04,08,01,13.0
7823,201704152017-029552            ,12,12,03,01,01,6.0,12,12,02,01,01,6.0
7824,201704152017-029559            ,03,03,02,01,03,2.0,03,03,02,01,03,2.0
7825,201704152017-029635            ,12,12,02,01,01,19.0,01,01,02,01,01,14.0
7826,201704152017-029740            ,12,12,02,01,01,5.0,06,06,02,01,01,4.0
7827,201704152017-029841            ,12,12,02,01,01,8.0,06,06,02,01,01,8.0
7828,201704152017-029859            ,12,12,02,01,01,14.0,06,06,02,01,01,5.0
7829,201704152017-029912            ,06,06,02,29,03,18.0,12,12,02,04,01,5.0
7830,201704152017-029919            ,06,06,02,04,01,5.0,12,12,02,04,01,11.0
7831,201704152017-030078            ,04,04,02,01,01,13.0,11,11,02,01,01,6.0
7832,201704152017-030205            ,12,12,02,01,01,8.0,03,03,02,01,01,6.0
7833,201704152017-030294            ,12,12,04,01,01,1.0,12,12,02,01,01,1.0
7834,201704152017-030436            ,01,12,04,01,01,19.0,11,12,04,01,01,10.0
7835,201704152017-030457            ,03,03,02,01,01,12.0,07,07,01,29,02,1.0
7836,201704152017-030507            ,12,12,02,01,01,5.0,06,06,02,01,01,1.0
7837,201704152017-030520            ,12,12,04,01,01,7.0,01,01,03,05,01,14.0
7838,201704152017-030706            ,11,11,03,01,01,9.0,09,09,04,01,01,4.0
7839,201704152017-030820            ,12,12,02,01,01,11.0,06,17,01,05,02,15.0
7840,201704152017-030831            ,12,12,02,01,01,7.0,06,06,02,04,01,14.0
7841,201704152017-030858            ,01,01,03,01,01,1.0,06,06,03,01,01,5.0
7842,201704152017-030873            ,04,05,02,01,01,2.0,11,10,02,01,01,12.0
7843,201704152017-030891            ,12,12,02,99,03,7.0,12,12,02,01,03,19.0
7844,201704152017-030925            ,01,02,02,04,01,13.0,01,02,02,01,01,11.0
7845,201704152017-030968            ,12,12,03,01,01,10.0,06,06,02,01,01,11.0
7846,201704152017-030972            ,11,11,02,01,01,11.0,05,05,02,01,01,7.0
7847,201704152017-031115            ,10,11,03,20,02,10.0,07,07,04,01,01,13.0
7848,201704152017-031237            ,12,17,01,01,01,6.0,12,17,02,01,01,6.0
7849,201704152017-031252            ,12,12,03,01,01,3.0,11,11,03,01,01,10.0
7850,201704152017-031444            ,,,02,,,0.5,,,02,,,0.5
7851,201704152017-031455            ,01,01,02,01,01,6.0,03,03,02,01,01,3.0
7852,201704152017-031468            ,12,12,02,01,01,4.0,06,06,02,01,01,3.0
7853,201704152017-031517            ,12,12,02,01,01,18.0,06,06,02,01,01,10.0
7854,201704152017-031695            ,15,15,04,01,01,0.5,15,15,02,01,01,0.5
7855,201704152017-031699            ,12,12,02,01,01,3.0,06,06,02,01,01,8.0
7856,201704152017-031706            ,12,12,02,01,01,16.0,06,06,02,05,01,3.0
7857,201704152017-031711            ,12,12,03,01,01,5.0,06,06,02,01,01,5.0
7858,201704152017-031913            ,03,03,02,01,01,8.0,08,08,02,01,01,5.0
7859,201704152017-031966            ,12,12,02,04,01,13.0,06,06,02,01,01,6.0
7860,201704152017-032002            ,05,05,04,01,01,11.0,01,01,02,01,01,14.0
7861,201704152017-032064            ,12,11,02,01,01,23.0,06,05,02,01,01,6.0
7862,201704152017-032071            ,09,17,02,03,02,0.5,02,03,02,01,01,3.0
7863,201704152017-032110            ,12,12,02,05,01,10.0,07,07,02,01,01,6.0
7864,201704152017-032185            ,01,01,04,01,01,6.0,01,01,02,01,01,6.0
7865,201704152017-032193            ,05,05,02,01,01,0.5,11,11,02,01,01,16.0
7866,201704152017-032234            ,99,99,01,05,01,2.0,99,99,02,01,01,16.0
7867,201704152017-032354            ,12,01,01,04,01,1.0,12,01,02,04,01,1.0
7868,201704152017-032367            ,11,12,04,01,01,14.0,10,09,03,01,01,18.0
7869,201704152017-032374            ,12,12,02,01,01,4.0,06,06,02,01,01,1.0
7870,201704152017-032553            ,06,17,01,05,03,17.0,06,17,02,05,03,17.0
7871,201704152017-032628            ,12,12,02,01,01,9.0,06,06,03,01,01,3.0
7872,201704152017-032660            ,01,01,04,01,01,14.0,12,12,04,01,01,4.0
7873,201704152017-032742            ,11,11,02,01,01,18.0,09,09,03,01,01,14.0
7874,201704152017-032793            ,12,12,02,01,01,17.0,06,06,02,04,01,17.0
7875,201704152017-032807            ,12,12,02,01,01,7.0,03,03,02,01,01,10.0
7876,201704152017-032978            ,05,06,03,01,01,13.0,12,01,03,01,01,16.0
7877,201704152017-033054            ,06,06,03,01,01,24.0,12,12,03,01,01,1.0
7878,201704152017-033077            ,08,08,03,01,01,7.0,02,02,03,01,01,4.0
7879,201704152017-033079            ,11,11,04,01,01,22.0,05,05,03,04,01,13.0
7880,201704152017-033260            ,02,02,04,01,01,1.0,02,02,02,01,01,1.0
7881,201704152017-033275            ,12,12,04,05,01,14.0,12,12,02,05,01,14.0
7882,201704152017-033487            ,12,12,03,01,01,10.0,06,06,02,04,01,2.0
7883,201704152017-033636            ,12,12,03,01,01,4.0,06,06,03,01,01,12.0
7884,201704152017-033689            ,01,01,04,01,01,12.0,12,12,03,01,01,17.0
7885,201704152017-033700            ,05,05,02,01,01,4.0,05,05,02,03,02,5.0
7886,201704152017-033711            ,12,12,02,03,02,10.0,06,06,02,01,01,15.0
7887,201704152017-033714            ,01,01,02,04,01,2.0,08,08,04,04,01,13.0
7888,201704152017-033891            ,09,09,04,01,01,6.0,12,12,04,01,01,7.0
7889,201704152017-033894            ,12,12,02,01,01,12.0,06,06,02,01,01,4.0
7890,201704152017-033907            ,12,12,02,01,01,13.0,06,06,02,01,01,2.0
7891,201704152017-034022            ,12,12,01,01,01,19.0,06,06,02,01,01,13.0
7892,201704152017-034078            ,11,11,03,01,01,4.0,05,05,03,01,01,2.0
7893,201704152017-034103            ,07,07,02,01,01,11.0,02,02,02,01,01,14.0
7894,201704152017-034116            ,12,12,04,01,01,15.0,06,06,02,01,01,6.0
7895,201704152017-034213            ,12,12,02,01,01,3.0,06,06,02,03,02,2.0
7896,201704152017-034259            ,02,02,04,01,01,9.0,10,10,04,01,01,7.0
7897,201704152017-034365            ,12,12,04,01,01,7.0,06,06,04,01,01,2.0
7898,201704152017-034377            ,12,15,01,01,01,20.0,06,06,02,01,01,8.0
7899,201704152017-034380            ,12,12,03,04,01,10.0,06,06,03,01,01,5.0
7900,201704152017-034407            ,07,06,02,05,02,1.0,10,10,03,01,01,7.0
7901,201704152017-034461            ,02,12,04,01,01,8.0,02,12,02,01,01,8.0
7902,201704152017-034462            ,12,12,03,01,01,8.0,06,06,04,01,01,17.0
7903,201704152017-034581            ,12,12,01,05,02,9.0,06,06,02,01,01,2.0
7904,201704152017-034583            ,03,03,02,01,01,0.5,09,09,02,05,02,3.0
7905,201704152017-034691            ,12,12,03,01,01,7.0,06,06,03,01,01,3.0
7906,201704152017-034722            ,12,12,04,01,01,12.0,12,12,02,01,01,12.0
7907,201704152017-034726            ,12,12,02,01,01,11.0,06,06,02,01,01,3.0
7908,201704152017-034734            ,12,12,02,01,01,3.0,12,12,02,01,01,3.0
7909,201704152017-034745            ,01,01,04,01,01,7.0,12,12,04,01,01,15.0
7910,201704152017-034759            ,12,12,04,01,01,16.0,06,06,02,04,02,0.5
7911,201704152017-034952            ,11,11,02,03,02,11.0,03,03,02,01,01,17.0
7912,201704152017-035024            ,12,12,04,01,01,8.0,06,06,04,01,01,9.0
7913,201704152017-035130            ,12,12,02,01,01,16.0,06,06,02,01,01,2.0
7914,201704152017-035140            ,13,17,01,25,02,1.0,13,17,02,25,02,1.0
7915,201704152017-035150            ,12,12,03,01,01,9.0,06,06,03,01,01,15.0
7916,201704152017-035155            ,12,12,01,05,02,11.0,06,06,02,04,01,1.0
7917,201704152017-035162            ,12,11,03,01,01,13.0,03,04,03,20,02,2.0
7918,201704152017-035169            ,12,01,04,01,01,12.0,06,06,03,01,01,15.0
7919,201704152017-035193            ,10,10,04,01,01,4.0,05,05,04,01,01,2.0
7920,201704152017-035262            ,11,11,02,01,01,8.0,05,05,02,04,01,4.0
7921,201704152017-035263            ,12,12,04,01,01,13.0,06,06,03,01,01,5.0
7922,201704152017-035279            ,03,03,02,01,01,11.0,09,09,02,01,01,3.0
7923,201704152017-035295            ,02,02,02,04,01,21.0,08,08,03,01,01,13.0
7924,201704152017-035335            ,11,11,04,01,01,6.0,01,01,04,05,01,20.0
7925,201704152017-035443            ,12,12,03,04,01,0.5,04,04,03,01,01,4.0
7926,201704152017-035482            ,12,12,04,01,01,5.0,04,04,04,05,01,16.0
7927,201704152017-035533            ,02,02,04,01,01,15.0,11,12,04,01,01,12.0
7928,201704152017-035534            ,08,08,04,04,01,17.0,01,01,03,01,01,6.0
7929,201704152017-035571            ,11,11,02,01,01,6.0,11,11,02,01,01,6.0
7930,201704152017-035577            ,12,12,02,05,01,6.0,06,06,02,01,01,7.0
7931,201704152017-035578            ,12,12,04,01,01,11.0,03,03,04,01,01,6.0
7932,201704152017-035609            ,08,08,02,29,02,22.0,03,03,03,02,01,15.0
7933,201704152017-035627            ,12,12,01,01,01,7.0,05,05,02,01,01,8.0
7934,201704152017-035632            ,06,06,02,04,01,10.0,12,12,02,04,01,0.5
7935,201704152017-035892            ,11,11,02,01,01,17.0,11,11,04,05,01,21.0
7936,201704152017-036101            ,12,01,02,20,03,21.0,10,09,02,04,03,3.0
7937,201704152017-036109            ,02,03,02,01,02,3.0,03,04,02,21,03,12.0
7938,201704152017-036111            ,10,09,02,04,03,2.0,10,09,02,04,03,2.0
7939,201704152017-036323            ,12,12,02,05,01,16.0,06,06,02,04,01,1.0
7940,201704152017-036465            ,12,12,03,01,01,3.0,03,04,03,01,01,7.0
7941,201704152017-036504            ,12,12,02,01,01,6.0,12,12,02,01,01,3.0
7942,201704152017-036599            ,12,12,04,01,01,29.0,12,12,04,01,01,13.0
7943,201704152017-036607            ,07,07,03,01,01,12.0,01,01,03,01,01,9.0
7944,201704152017-036637            ,11,10,03,20,03,25.0,04,02,03,01,01,4.0
7945,201704152017-036756            ,01,02,02,01,02,0.5,01,02,02,01,02,0.5
7946,201704152017-036772            ,11,11,04,01,01,4.0,11,11,02,01,01,4.0
7947,201704152017-036851            ,12,12,04,01,01,1.0,12,12,04,04,01,13.0
7948,201704152017-036862            ,12,12,03,01,01,23.0,12,12,02,01,01,23.0
7949,201704152017-036943            ,11,11,02,01,01,13.0,03,03,02,31,02,7.0
7950,201704152017-036962            ,07,07,02,01,03,2.0,07,07,02,01,03,2.0
7951,201704152017-036978            ,11,11,02,01,01,17.0,03,03,02,05,02,7.0
7952,201704152017-036997            ,10,10,03,01,01,2.0,10,10,03,01,01,6.0
7953,201704152017-037164            ,09,09,03,01,01,14.0,12,12,03,04,01,18.0
7954,201704152017-037205            ,12,12,03,01,01,14.0,12,12,02,01,01,14.0
7955,201704152017-037208            ,06,06,02,01,01,14.0,01,01,02,01,01,4.0
7956,201704152017-037222            ,05,05,02,01,01,7.0,01,01,01,05,01,1.0
7957,201704152017-037277            ,12,12,03,01,01,23.0,06,06,03,01,01,11.0
7958,201704152017-037361            ,03,03,03,04,01,17.0,12,12,03,04,01,6.0
7959,201704152017-037364            ,12,12,02,01,01,2.0,06,06,02,01,01,19.0
7960,201704152017-037411            ,03,12,04,01,01,4.0,07,07,03,04,01,1.0
7961,201704152017-037531            ,06,06,02,01,01,13.0,11,11,02,01,01,0.5
7962,201704152017-037535            ,01,01,04,04,01,5.0,01,02,04,01,01,5.0
7963,201704152017-037569            ,12,12,02,04,01,17.0,06,06,02,01,01,10.0
7964,201704152017-037687            ,12,11,04,01,01,2.0,06,05,03,01,01,14.0
7965,201704152017-037738            ,12,01,04,04,01,16.0,12,12,04,04,01,2.0
7966,201704152017-037783            ,01,01,04,04,01,4.0,07,07,04,01,01,21.0
7967,201704152017-037829            ,12,12,04,01,01,12.0,06,06,03,04,01,3.0
7968,201704152017-037850            ,12,12,04,01,01,12.0,06,06,03,01,01,1.0
7969,201704152017-037942            ,01,01,02,01,01,12.0,07,07,02,01,01,4.0
7970,201704152017-037970            ,12,12,04,01,01,5.0,12,12,02,01,01,5.0
7971,201704152017-038059            ,10,10,02,05,01,11.0,04,04,02,05,01,0.5
7972,201704152017-038114            ,03,03,02,03,02,5.0,09,09,02,31,03,12.0
7973,201704152017-038135            ,06,06,02,05,01,7.0,12,12,02,04,01,6.0
7974,201704152017-038146            ,12,12,04,01,01,16.0,06,06,02,04,01,6.0
7975,201704152017-038157            ,12,12,02,04,01,9.0,06,06,02,01,01,2.0
7976,201704152017-038167            ,12,10,04,01,01,22.0,12,10,02,01,01,22.0
7977,201704152017-038177            ,12,12,02,01,01,10.0,06,06,02,01,01,0.5
7978,201704152017-038200            ,12,12,02,01,01,5.0,05,05,02,01,01,9.0
7979,201704152017-038268            ,12,12,03,04,01,11.0,06,06,03,04,01,1.0
7980,201704152017-038271            ,01,01,04,01,01,9.0,01,01,04,04,01,0.5
7981,201704152017-038285            ,12,12,04,01,01,18.0,06,06,02,04,01,9.0
7982,201704152017-038407            ,12,12,02,,01,6.0,07,07,02,,01,2.0
7983,201704152017-038427            ,12,12,04,01,01,8.0,06,06,04,04,01,10.0
7984,201704152017-038505            ,01,02,03,01,01,12.0,01,02,03,01,01,14.0
7985,201704152017-038524            ,03,03,02,01,01,2.0,09,09,02,05,01,7.0
7986,201704152017-038550            ,12,12,02,01,01,3.0,06,06,02,01,01,3.0
7987,201704152017-038553            ,,,02,,,15.0,,,02,,,6.0
7988,201704152017-038640            ,11,10,04,04,01,15.0,08,07,03,04,03,3.0
7989,201704152017-038738            ,12,01,02,01,01,12.0,11,10,04,01,01,4.0
7990,201704152017-038789            ,12,12,03,03,02,2.0,04,04,03,05,02,33.0
7991,201704152017-038814            ,11,11,02,01,01,11.0,11,17,01,01,01,0.5
7992,201704152017-038933            ,,,02,01,01,5.0,,,02,01,01,5.0
7993,201704152017-038980            ,,,02,,,3.0,,,02,,,3.0
7994,201704152017-039034            ,11,01,03,01,01,10.0,06,06,03,01,01,12.0
7995,201704152017-039035            ,12,12,02,,01,2.0,12,12,02,,01,2.0
7996,201704152017-039037            ,12,12,04,01,01,13.0,06,17,02,25,02,1.0
7997,201704152017-039044            ,10,10,02,01,01,21.0,04,04,03,02,01,0.5
7998,201704152017-039094            ,11,11,03,01,01,13.0,12,12,03,01,01,1.0
7999,201704152017-039220            ,06,06,02,01,01,13.0,12,12,02,01,01,11.0
8000,201704152017-039233            ,12,12,03,01,01,2.0,07,08,03,01,01,9.0
8001,201704152017-039336            ,02,02,04,04,01,5.0,07,07,02,04,01,1.0
8002,201704152017-039351            ,12,01,03,01,01,1.0,05,06,03,01,01,4.0
