,Number,Initial Impact Location_x,Principal Damage Location_x,Extent of Damage_x,Vehicle Type_x,Vehicle Use_x,V_Age_x,Initial Impact Location_y,Principal Damage Location_y,Extent of Damage_y,Vehicle Type_y,Vehicle Use_y,V_Age_y
45260,20180427180087104              ,12,12,02,01,01,5.0,12,12,02,01,01,5.0
45261,20180427180089065              ,09,10,02,01,01,10.0,09,10,03,01,01,10.0
45262,20180427180089149              ,11,11,02,01,01,10.0,11,11,02,01,01,10.0
45263,20180427180089859              ,06,06,02,05,01,12.0,06,06,02,05,01,12.0
45264,20180427180090185              ,10,10,02,01,01,21.0,10,10,02,01,01,21.0
45265,20180427180090481              ,07,07,02,04,01,7.0,07,07,03,04,01,7.0
45266,20180427180090927              ,01,01,02,04,00,3.0,01,01,02,04,00,3.0
45267,20180427180091449              ,11,10,02,01,01,1.0,11,10,03,01,01,1.0
45268,20180427180091454              ,02,02,02,01,01,0.5,02,02,03,01,01,0.5
45269,20180427180091456              ,12,12,02,01,01,15.0,12,12,03,01,01,15.0
45270,20180427180091700              ,10,10,02,01,01,11.0,10,10,03,01,01,11.0
45271,20180427180091875              ,07,07,02,01,01,6.0,07,07,02,01,01,6.0
45272,20180427180092670              ,07,07,02,01,03,3.0,07,07,02,01,03,3.0
45273,20180427180093439              ,09,09,02,01,01,0.5,09,09,02,01,01,0.5
45274,20180427C020-2018-01022A       ,06,06,02,01,01,3.0,06,06,02,01,01,3.0
45275,201804282018004360             ,03,03,02,04,01,12.0,03,03,02,04,01,12.0
45276,201804282018004923             ,12,12,02,04,02,13.0,12,12,02,04,02,13.0
45277,201804282018012128             ,05,12,02,01,01,18.0,05,12,03,01,01,18.0
45278,201804302018-004189            ,07,07,02,04,01,4.0,07,07,03,04,01,4.0
45279,201804302018-009629            ,12,12,02,01,01,3.0,12,12,03,01,01,3.0
45280,201804302018-05362             ,09,09,02,05,01,2.0,09,09,02,05,01,2.0
45281,20180430A310-2018-00660A       ,03,03,02,01,01,3.0,03,03,03,01,01,3.0
45282,20180430A310-2018-01884A       ,06,06,02,01,01,13.0,06,06,02,01,01,13.0
45283,2018043101373-18               ,06,06,02,01,01,1.0,06,06,02,01,01,1.0
45284,2018043102585-18               ,07,07,02,01,01,3.0,07,07,03,01,01,3.0
45285,2018043106354-18               ,06,06,02,40,00,18.0,06,06,01,40,00,18.0
45286,2018043106601-18               ,08,08,02,04,,11.0,08,08,03,04,,11.0
45287,2018043106913-18               ,09,09,02,01,01,18.0,09,09,02,01,01,18.0
45288,2018043107662-18               ,09,09,02,01,01,9.0,09,09,04,01,01,9.0
45289,2018043107668-18               ,06,06,02,04,01,2.0,06,06,02,04,01,2.0
